model,tier,sys_a,sys_b,mean_a,mean_b,diff,n,wilcoxon,p,p_bonf,cliff_delta
claude-haiku-4-5,20000,graph,llm-only,0.7692307692307693,0.6188811188811189,0.15034965034965042,143,2354.0,0.0027320204593389743,0.027320204593389744,0.1833341483691134
claude-haiku-4-5,20000,graph,sql-fts,0.7692307692307693,0.5559440559440559,0.21328671328671334,143,1678.0,7.567590436866718e-06,7.567590436866718e-05,0.26147977896229646
claude-haiku-4-5,20000,graph,sql-t2s,0.7692307692307693,0.8636363636363636,-0.09440559440559437,143,879.0,0.0013121074043704116,0.013121074043704117,-0.11345298058584771
claude-haiku-4-5,20000,graph-cypher,llm-only,0.8671328671328671,0.6188811188811189,0.24825174825174823,143,1152.0,1.7519256404791497e-07,1.7519256404791495e-06,0.2961024988997017
claude-haiku-4-5,20000,graph-cypher,sql-fts,0.8671328671328671,0.5559440559440559,0.31118881118881114,143,728.0,8.317055750686959e-11,8.31705575068696e-10,0.3782581055308328
claude-haiku-4-5,20000,graph-cypher,sql-t2s,0.8671328671328671,0.8636363636363636,0.0034965034965034336,143,1587.0,0.7421950835839655,1.0,-0.013692601105188518
claude-haiku-4-5,20000,llm-only,sql-fts,0.6188811188811189,0.5559440559440559,0.06293706293706292,143,1403.5,0.017091592076146148,0.17091592076146148,0.07736319624431512
claude-haiku-4-5,20000,llm-only,sql-t2s,0.6188811188811189,0.8636363636363636,-0.2447552447552448,143,1092.0,1.2365562695571805e-07,1.2365562695571804e-06,-0.29771626974424176
claude-haiku-4-5,20000,sql-fts,sql-t2s,0.5559440559440559,0.8636363636363636,-0.3076923076923077,143,499.0,1.4763390537950948e-11,1.476339053795095e-10,-0.3767421389799012
llama-3.1-8b,200,graph,graph-cypher,0.09774436090225563,0.08646616541353383,0.011278195488721804,266,4455.0,0.37897944027919916,1.0,0.021114817117982927
llama-3.1-8b,200,graph,llm-only,0.09774436090225563,0.6203007518796992,-0.5225563909774436,266,1220.0,4.819162304480667e-35,4.819162304480667e-34,-0.6637740968963762
