model,tier,system,qid,type,judge,fuzzy,latency_ms,cost_usd,turns,gt_suspect,over_answered
claude-haiku-4-5,200,llm-only,MH-86,multi-hop,0.0,0.0,4478,0.02280505,1.0,False,False
claude-haiku-4-5,200,graph,COH-2,cohort,1.0,1.0,6917,0.019558100000000002,2.0,False,False
claude-haiku-4-5,200,sql-fts,COH-2,cohort,0.0,0.0,5381,0.01576255,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-2,cohort,1.0,1.0,7257,0.02112985,2.0,False,False
claude-haiku-4-5,200,graph,UNA-2,unanswerable,0.5,1.0,6180,0.0191722,2.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-2,unanswerable,1.0,1.0,3748,0.00821005,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-2,unanswerable,1.0,1.0,14793,0.0406551,5.0,False,False
claude-haiku-4-5,200,llm-only,UNA-2,unanswerable,1.0,1.0,2586,0.008073799999999999,1.0,False,False
claude-haiku-4-5,200,graph,TMP-10,temporal,1.0,0.9230769230769231,12811,0.0296364,3.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-10,temporal,0.5,0.6923076923076923,4484,0.0185788,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-10,temporal,1.0,1.0,12468,0.024979100000000004,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-10,temporal,1.0,0.8461538461538461,6663,0.029227549999999998,1.0,False,False
claude-haiku-4-5,200,graph,SL-68,simple-lookup,1.0,1.0,9765,0.02010175,2.0,False,False
claude-haiku-4-5,200,sql-fts,SL-68,simple-lookup,1.0,1.0,12442,0.01141505,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-68,simple-lookup,1.0,1.0,5417,0.02018975,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-68,simple-lookup,1.0,1.0,5118,0.014727549999999999,1.0,False,False
claude-haiku-4-5,200,graph,RSN-108,reasoning,0.0,0.4000000000000001,10895,0.0280817,3.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-108,reasoning,0.5,0.6,10320,0.01483755,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-108,reasoning,0.5,0.8000000000000002,14573,0.02636705,2.0,False,False
claude-haiku-4-5,200,llm-only,RSN-108,reasoning,0.5,0.6,10936,0.0179463,1.0,False,False
